ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
770,200,-12,-12,0,200,10,80,20,800,400,20,12,30
770,200,-12,-12,0,200,10,80,20,800,400,20,12,30
758,188,-12,-12,0,200,10,80,20,800,400,20,12,30
746,176,-12,-12,-1,180,10,80,20,800,400,20,12,30
734,164,-12,-12,0,160,10,80,20,800,400,20,12,30
722,152,-12,-12,0,160,10,80,20,800,400,20,12,30
710,140,-12,-12,-1,140,10,80,20,800,400,20,12,30
698,128,-12,-12,0,120,10,80,20,800,400,20,12,30
686,116,-12,-12,0,120,10,80,20,800,400,20,12,30
674,104,-12,-12,0,120,10,80,20,800,400,20,12,30
662,92,-12,-12,-1,100,10,80,20,800,400,20,12,30
650,80,-12,-12,0,80,10,80,20,800,400,20,12,30
638,68,-12,-12,0,80,10,80,20,800,400,20,12,30
626,56,-12,-12,0,80,10,80,20,800,400,20,12,30
614,44,-12,-12,0,80,10,80,20,800,400,20,12,30
602,32,-12,-12,0,80,10,80,20,800,400,20,12,30
590,44,-12,12,0,80,10,80,20,800,400,20,12,30
578,56,-12,12,0,80,10,80,20,800,400,20,12,30
566,68,-12,12,0,80,10,80,20,800,400,20,12,30
554,80,-12,12,0,80,10,80,20,800,400,20,12,30
542,92,-12,12,0,80,10,80,20,800,400,20,12,30
530,104,-12,12,1,100,10,80,20,800,400,20,12,30
518,116,-12,12,0,120,10,80,20,800,400,20,12,30
506,128,-12,12,0,120,10,80,20,800,400,20,12,30
494,140,-12,12,1,140,10,80,20,800,400,20,12,30
482,152,-12,12,0,160,10,80,20,800,400,20,12,30
470,164,-12,12,0,160,10,80,20,800,400,20,12,30
458,176,-12,12,0,160,10,80,20,800,400,20,12,30
446,188,-12,12,1,180,10,80,20,800,400,20,12,30
434,200,-12,12,0,200,10,80,20,800,400,20,12,30
422,212,-12,12,0,200,10,80,20,800,400,20,12,30
410,224,-12,12,1,220,10,80,20,800,400,20,12,30
398,236,-12,12,0,240,10,80,20,800,400,20,12,30
386,248,-12,12,0,240,10,80,20,800,400,20,12,30
374,260,-12,12,0,240,10,80,20,800,400,20,12,30
362,272,-12,12,1,260,10,80,20,800,400,20,12,30
350,284,-12,12,0,280,10,80,20,800,400,20,12,30
338,296,-12,12,0,280,10,80,20,800,400,20,12,30
326,308,-12,12,0,280,10,80,20,800,400,20,12,30
314,320,-12,12,0,280,10,80,20,800,400,20,12,30
302,332,-12,12,1,300,10,80,20,800,400,20,12,30
290,344,-12,12,0,320,10,80,20,800,400,20,12,30
278,356,-12,12,0,320,10,80,20,800,400,20,12,30
266,368,-12,12,0,320,10,80,20,800,400,20,12,30
254,356,-12,-12,0,320,10,80,20,800,400,20,12,30
242,344,-12,-12,0,320,10,80,20,800,400,20,12,30
230,332,-12,-12,-1,300,10,80,20,800,400,20,12,30
218,320,-12,-12,0,280,10,80,20,800,400,20,12,30
206,308,-12,-12,0,280,10,80,20,800,400,20,12,30
194,296,-12,-12,0,280,10,80,20,800,400,20,12,30
182,284,-12,-12,0,280,10,80,20,800,400,20,12,30
170,272,-12,-12,-1,260,10,80,20,800,400,20,12,30
